doc_id,problem_status,problem_summary,solutions_count,solutions_status,implementation_status,implementation_count,narrative_hook_present,narrative_hook_type,problem_explicitly_labelled,solutions_explicitly_labelled,implementation_explicitly_labelled,procedural_clarity_status
be-rural_4,present,"The document identifies challenges in raising funds for innovative small-scale bio-based businesses, including scarcity of funds, lack of capacities among local actors, and insufficient public investment frameworks in Central and Eastern Europe.",5,present,weak,0,True,statistic,True,True,False,weak
biodiversa_01_protected_areas_and_agricultural_changes,present,"Conflicting stakeholder values and priorities in agriculture and biodiversity conservation lead to tensions and controversies, impacting conservation effectiveness.",8,present,weak,0,True,case study,True,True,False,weak
besafe,present,"Biodiversity is declining despite its importance for human well-being, necessitating more convincing arguments for protective action.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_02_anticipatory_governance,present,"The document identifies various pressures on biodiversity, including climate change, habitat destruction, and pollution, which threaten ecosystem resilience and human well-being.",6,present,weak,0,True,contextual background on biodiversity pressures,True,True,False,weak
biodiversa_03_landscape_diversity,present,"Human-driven land use changes have transformed 75% of the Earth’s surface, leading to landscape homogenization and a decline in biodiversity, which threatens human health and well-being.",7,present,present,5,True,statistic,True,True,True,present
biodiversa_05_biodiversity_health_services,present,"Human disruptions to ecosystems reduce biodiversity, increasing the risk of zoonotic diseases and impacting public health.",10,present,weak,0,True,statistic,False,True,False,weak
biodiversa_04_biodiversity_services,present,"The document identifies the decline of biodiversity in agricultural systems due to intensification practices, which threatens ecosystem services essential for food production and human health.",7,present,weak,0,True,statistic,True,True,False,weak
biodiversa_07_forest_climate_change_adaptation,present,"The document identifies the challenge of adapting forest trees to climate change, emphasizing the need for maintaining genetic diversity to ensure resilience and adaptability of forests.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_06_nitrogen_pollution,present,"Nitrogen pollution and climate change are threatening the carbon storage capacity and biodiversity of peatlands, leading to increased CO2 emissions and loss of ecosystem services.",7,present,weak,0,True,statistic,True,True,False,weak
biodiversa_08_small_mammals_conservation,present,"Population cycles of small rodents, such as voles and lemmings, are changing, leading to declines in their populations and potential extinctions of associated predators, driven by factors like land use and climate change.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_09_natura_2000,present,"Implementation of Natura 2000 in forests has led to conflicts related to different interests and land use paradigms, posing challenges for EU biodiversity policy.",5,present,weak,0,True,statistic,True,True,False,weak
biodiversa_10_insects,present,"The document identifies the decline of specialized insects, particularly the Large Blue butterfly, due to environmental changes, habitat loss, and climate change, necessitating intervention for their conservation.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_11_wildlife_disease,present,"The document identifies the increasing threat of wildlife diseases, particularly the Bd fungus, to biodiversity in Europe, highlighting the dramatic declines and mass mortalities of amphibian species due to this pathogen.",8,present,weak,0,True,statistic,True,True,True,weak
biodiversa_12_cap,present,"Biodiversity in agricultural areas has continued to decline, necessitating greater efforts for its conservation and restoration, particularly in the context of climate change.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_13_soil_biodiversity,present,"The document identifies the undervaluation of soil biodiversity in agricultural practices, which affects soil health and ecosystem services, leading to challenges in crop resilience and sustainability.",7,present,weak,0,True,statistic,True,True,False,weak
biodiversa_14_ecosystem_resilience,present,"Global change can reduce the resilience of ecosystems and cause them to cross tipping points, leading to a rapid reduction in function and service provision which may be difficult to reverse.",6,present,weak,0,True,statistic,True,True,False,weak
biodiversa_15_ecosystem_services,present,"The document identifies the challenge of managing ecosystem services, which often have trade-offs and synergies that need to be understood for effective policy-making, particularly in the context of climate change and land management.",7,present,weak,0,True,case study,True,True,False,weak
biodiversa_16_forest_expansion_benefits,present,"Europe faces significant landscape fragmentation, negatively impacting biodiversity and ecosystem services, necessitating intervention through natural forest expansion (NFE).",7,present,weak,0,True,statistic,True,True,False,weak
biodiversa_17_invasive_alien_species,present,"Climate change is increasing the risk of new invasive alien species in Europe, threatening biodiversity, ecosystem services, and causing significant economic costs.",4,present,weak,0,True,statistic,True,True,False,weak
biodiversa_18_green_infrastructures,present,"Agricultural landscapes in Europe are becoming increasingly simplified due to agricultural intensification, leading to biodiversity loss and negative impacts on ecosystem services.",6,present,weak,0,True,statistic,True,True,False,weak
biomonitor_1,present,"The document identifies a lack of data and statistics about emerging innovative industries in the bioeconomy, which hinders robust monitoring and analysis tools necessary for sustainable development.",3,present,weak,0,True,statistic,True,True,False,weak
biomonitor_2,present,"The document identifies the challenge of selecting appropriate modelling tools for policy planning in the fragmented landscape of the bioeconomy, highlighting gaps in current models' ability to address policy interventions and objectives of the European Bioeconomy Strategy.",0,absent,absent,0,True,statistic,True,False,False,absent
biomonitor_3,present,"The document identifies the need for a sustainable bioeconomy in Europe, highlighting the challenges of balancing economic, environmental, and social impacts while addressing external drivers such as climate change and resource management.",4,present,weak,0,True,statistic,True,True,False,weak
biomonitor_4,present,"The document identifies the need for measurable indicators to evaluate the impact of the bioeconomy on achieving EU policy goals, particularly in relation to carbon neutrality and environmental health by 2050.",3,present,weak,0,True,statistic,True,True,False,weak
biomonitor_5,present,"The document identifies challenges related to the circular bioeconomy, including climate change, unsustainable resource use, and economic inequality, emphasizing the need for substantial progress and effective policy actions.",3,present,weak,0,True,statistic,False,True,False,weak
biomonitor_6,present,"Contemporary food systems lack sustainability, necessitating improvements to address human and planetary health problems.",3,present,weak,0,True,statistic,False,True,False,weak
biomonitor_7,present,"Critical knowledge gaps in the EU Bioeconomy Strategy hinder progress, particularly regarding sustainability impacts, tensions between land and biomass supply and demand, and systemic effects.",4,present,weak,0,True,statistic,True,True,False,weak
biores,present,"The document identifies the need for quality criteria and sustainability requirements in the production and supply of woody bioenergy, highlighting issues related to inconsistent quality and sustainability in biomass supply chains.",5,present,present,4,True,case study,True,True,True,present
biw_1,present,"The document identifies the need for sustainable and carbon-neutral urban development, particularly through the use of wood in construction, as a response to climate change and urbanization challenges.",57,present,present,3,True,case study,True,True,True,present
bloom,present,"Low awareness and knowledge about the bioeconomy among civil society, leading to challenges in engagement and co-creation processes.",6,present,weak,0,True,case study,True,True,False,weak
branches_1,present,"The document identifies regulatory and political barriers to the development of regional bioeconomy, highlighting the need for effective policies to foster bioeconomy value chains in European regions.",5,present,weak,0,True,case study,True,True,False,weak
biw_2,present,"The document identifies challenges related to the lack of harmonization in standards for wood-based construction materials, the need for improved regulations, and the environmental impact of non-biobased materials versus the benefits of timber.",10,present,weak,0,True,statistic,True,True,False,weak
coupled_1,present,"The document identifies the problem of environmental and social impacts caused by the EU's consumption patterns of land-based agricultural products, particularly the indirect effects of trade on deforestation and land use in developing countries.",8,present,weak,0,True,statistic,True,True,False,weak
coupled_2,present,"The document identifies the issue of significant global forest loss, carbon emissions, and biodiversity loss caused by the production, consumption, and trade of agricultural commodities, particularly in Brazil's soy supply chain, and highlights the need to consider sourcing patterns in sustainability initiatives.",3,present,weak,0,True,statistic,False,False,False,absent
coupled_3,present,"The current EU carbon accounting scheme for land use neglects significant land use changes, historical legacies, and the maturation of forests, leading to inequitable incentives among member states.",1,present,weak,0,True,statistic,False,False,False,absent
branches_2,present,"The report identifies the need for strategic actions to enable regional sustainable development based on bioeconomy activities, particularly in agriculture and forest biomass value chains.",33,present,weak,0,True,case study,True,True,False,weak
desira_1,present,"The document identifies challenges related to the impacts of digitalisation on agriculture and rural areas, including low farm incomes, data ownership issues, and the need for digital skills among farmers.",5,present,weak,0,True,provocative question,True,True,False,weak
diabolo,present,"The document identifies challenges in the provision and exchange of forest information for EU policies, highlighting issues such as lack of coordination among data providers and policymakers, data privacy concerns, and poor comparability of information across Member States.",5,present,weak,0,True,statistic,True,True,False,weak
ecopotential,present,"Human pressures such as climate change, land-use change, invasive species, and pollution are threatening ecosystem integrity, leading to potential loss of crucial ecosystem processes, functions, and services.",4,present,weak,0,True,case study,True,True,False,weak
desira_2,present,"The document identifies the challenge of ensuring that rural populations benefit from digitalisation, particularly in terms of digital skills and connectivity, highlighting the risk of leaving behind significant portions of the rural community.",10,present,weak,0,True,statistic,True,True,False,weak
efface_1,present,"Illegal logging and the trade in illegally harvested wood contribute to deforestation, climate change, and corruption, undermining sustainable development.",5,present,present,3,True,case study,True,True,True,present
efface_2,present,"Environmental crime is a serious and organized category of offense that has significant impacts on economies, human health, biodiversity, and governance, yet receives insufficient attention from policymakers and law enforcement.",2,present,weak,0,True,statistic,True,True,False,weak
efface_3,present,"The document identifies the problem of environmental crime, specifically the challenges in quantifying its impacts due to dispersed data and the difficulty in distinguishing illegal activities from legal ones.",0,absent,absent,0,True,statistic,True,False,False,absent
effect_2,present,"The document identifies the poor performance of agri-environmental schemes (AES) in achieving significant environmental improvements due to an individual-farm targeting approach, which fails to leverage spatial coordination among landholders.",3,present,weak,0,True,provocative question,True,True,False,weak
effect_1,present,"Challenges regarding participation in collective action for environmental goods, including individualism, lack of trust, and the free rider problem, which increase transaction costs.",2,present,weak,0,True,case study,True,True,False,weak
effect_3,present,"Increasing demands on European agricultural landscapes create conflicting pressures on land resources, necessitating improved governance of agri-environmental services to meet environmental and climate targets.",6,present,weak,2,True,statistic,True,True,False,weak
efi_1,present,"The environmental impacts of wood-based textile fibres are not fully understood, with potential issues including eutrophication, acidification, human toxicity, and air pollution, alongside challenges in their adoption due to production and market factors.",4,present,weak,0,True,provocative question,False,True,False,weak
efforte,present,"The document identifies the issue of soil compaction and rutting caused by forest machinery, which negatively impacts forest growth and soil health during logging operations.",6,present,present,6,True,statistic,True,True,True,present
efi_2,present,"The document identifies challenges related to carbon farming in forests, including the need for proof of additionality, balancing climate goals with forest resilience, delivering multiple environmental co-benefits, non-permanence of carbon storage, methodological problems in quantifying carbon changes, and difficulties in setting baselines and verifying carbon removals.",4,present,weak,0,True,statistic,True,True,False,weak
efi_3,present,"Urbanization is leading to health challenges such as chronic stress, social isolation, and non-communicable diseases (NCDs) due to lifestyle changes, requiring intervention through nature-based solutions like urban forests.",4,present,present,4,True,statistic,True,True,True,present
efi_5,present,"The document identifies the limited adoption of modern wood buildings due to various barriers including national building codes, lack of expertise, economic factors, and technical issues related to fire risk and moisture.",4,present,weak,0,True,provocative question,False,True,False,absent
efi_4,present,"The document identifies the need to improve forest management in response to the dual crises of climate change and biodiversity loss, highlighting the importance of economic incentives like Payments for Environmental Services (PES).",7,present,weak,0,True,contextual background on climate change and biodiversity loss,False,True,False,weak
efi_6,present,"Europe's forests face challenges in providing multiple ecosystem services due to imprecise information on demand and supply, climate change pressures, lack of policy integration, ambiguous regulatory frameworks, misalignment of supply and societal demand, and diversity in forest management practices.",4,present,absent,0,False,,True,True,False,absent
efi_7,present,"The document identifies the challenge of achieving climate neutrality in the EU and the role of forests and wood products in mitigating greenhouse gas emissions, highlighting the need for additional carbon removal targets by 2030, 2035, and 2050.",6,present,weak,1,True,statistic,True,True,False,weak
efi_9,present,"Systemic barriers limit women's access to land, finance, training, and leadership roles in forest MSMEs, hindering their economic empowerment and the sustainability of forest value chains.",5,present,weak,0,True,statistic,False,True,False,weak
efi_8,present,"Forest biodiversity in Europe is threatened by atmospheric pollution, climate change, invasive species, and poor forest management practices, leading to increased vulnerability of species and ecosystems.",6,present,weak,0,True,statistic,True,True,False,weak
efimed_1,present,"The document identifies the need for a Mediterranean Forest Research Agenda due to the lack of comprehensive research addressing the unique challenges faced by Mediterranean forests, including climate change and socio-economic pressures.",10,present,weak,0,True,provocative question,True,True,False,weak
efirecom_1,present,"The document identifies the problem of increasing forest fires in the Mediterranean region, primarily caused by human negligence and the accumulation of combustible vegetation due to land abandonment and rural depopulation.",6,present,weak,0,True,statistic,False,True,False,weak
efirecom_2,present,"The document identifies the challenge of societal perception of forest fire risks, which affects public response and support for forest management policies.",5,present,weak,0,True,statistic,True,True,False,weak
efimed_2,present,"The document identifies urgent environmental challenges affecting Mediterranean forests, including forest fires, droughts, and extreme weather events, which require immediate political attention and action.",4,present,present,3,True,case study,True,True,True,present
eklipse_1,present,"The document identifies societal challenges such as increased pollution, overexploitation of natural resources, loss of social cohesion, and a disconnect between people and nature, which require intervention through nature-based solutions (NBS) and social innovation.",6,present,weak,0,True,provocative question,True,True,False,weak
eklipse_3,present,"The document identifies the need for improved mitigation measures to prevent biodiversity loss, emphasizing the importance of the 'avoid' stage in the mitigation hierarchy.",4,present,weak,0,True,contextual background on biodiversity loss and mitigation hierarchy,True,True,False,weak
eklipse_2,present,"The document identifies the challenge of building resilient coastal communities in the face of climate change and other coastal challenges, emphasizing the need for community empowerment and nature-based solutions.",5,present,weak,2,True,provocative question,True,True,False,weak
eklipse_4,present,"The document identifies the critical interlinkages between biodiversity and pandemics, emphasizing the need for interdisciplinary research to address spillover events between wildlife, domestic animals, and humans, which pose significant health risks.",4,present,weak,0,True,provocative question,True,True,False,weak
eklipse_5,present,"The document identifies the challenge of farmer uptake of measures that support biodiversity and ecosystem services within the Common Agricultural Policy (CAP), highlighting various factors influencing this uptake.",1,present,weak,0,True,case study,True,True,False,weak
fire-res,present,"Wildfires pose a significant risk to landowners and surrounding communities, leading to underinvestment in wildfire risk reduction due to insufficient motivation and organization among land managers.",3,present,weak,0,True,provocative question,False,True,False,weak
eklipse_6,present,"Barriers to effective ecological restoration include insufficient funding, low political priority, conflicting stakeholder interests, and lack of integrated land use planning.",3,present,weak,0,True,provocative question,True,True,False,weak
fireurisk,present,"The document identifies the urgent need for a systemic response to increasingly catastrophic wildfire events exacerbated by climate change, highlighting the inadequacies of current EU policies that focus primarily on technological solutions rather than integrated wildfire management approaches.",2,present,weak,0,True,statistic,True,True,False,weak
forestpolicy,present,The document identifies the challenge of clearing tropical forests for agricultural expansion and the potential inequities in zero-deforestation supply chain commitments that may exclude smallholders and low-capacity producers.,4,present,present,4,True,statistic,False,True,True,present
forgenius,absent,,3,present,present,3,False,,False,True,True,present
forestvalue2,present,"The document identifies the challenge of intensifying collaboration among stakeholders to achieve the goals of the Green Deal and decarbonize the European economy, particularly in the context of climate change impacts on forests and the forest-based sector.",12,present,weak,0,True,statistic,True,True,False,weak
forger_1,present,"The document identifies the challenge of conserving forest genetic resources (FGR) in Europe, highlighting gaps in current conservation efforts and the need for improved genetic characterization of tree species.",5,present,weak,0,True,statistic,False,True,False,weak
forger_2,present,"The document identifies issues related to the conservation and use of forest genetic resources in Europe, including gaps in genetic diversity measurements and the need for better characterization of genetic conservation units.",6,present,weak,0,True,statistic,False,True,False,weak
forger_3,present,"The document identifies issues related to the conservation and use of forest genetic resources in Europe, particularly gaps in genetic diversity measurements and the need for better genetic characterization of conservation units.",6,present,weak,0,True,statistic,False,True,False,weak
genres_bridge_1,present,"Current global declines in genetic resources due to social, economic, and environmental factors are making agriculture and forestry vulnerable to climate change, necessitating urgent action to conserve genetic resources in Europe.",3,present,weak,0,True,statistic,True,True,False,weak
genres_bridge_3,present,"Current global declines in genetic resources due to social, economic, and environmental factors are rendering agriculture and forestry increasingly vulnerable to climate change.",5,present,weak,0,True,statistic,False,True,False,weak
genres_bridge_2,present,"The document identifies the urgent need for action to conserve and sustainably use genetic resources in Europe due to challenges in collaboration, policy coherence, and resource management.",8,present,weak,0,True,urgent action,True,True,False,weak
gentree,present,"European forests are increasingly vulnerable to climate change, particularly at the southern edges, due to varying levels of genetic and phenotypic diversity among tree populations.",3,present,weak,0,True,statistic,True,True,False,weak
green4c,present,"Negative changes in environmental conditions affect human health and well-being, leading to increased social inequalities and health issues, necessitating intervention through nature-based solutions.",5,present,weak,0,True,statistic,True,True,False,weak
globis-b,present,"The document identifies the need for effective operationalization of Essential Biodiversity Variables (EBVs) for biodiversity assessments, highlighting challenges in data integration, legal restrictions, and the need for policy support.",8,present,weak,0,True,case study,True,True,False,weak
greengain_1,present,"The document identifies problems related to the utilization of biomass from landscape conservation and maintenance work (LCMW) for energy production, including legal regulations, financial tools, public participation, and governance issues.",4,present,present,5,True,case study,True,True,True,present
greengain_2,present,"The document identifies the lack of clear definitions and regulations for biomass from landscape conservation and maintenance work (LCMW), which hinders its market uptake and effective management.",14,present,weak,0,True,provocative question,True,True,False,weak
greengain_3,present,"The document identifies the challenge of increasing the energy use of biomass feedstock from landscape conservation and maintenance works, highlighting the need for effective management and utilization of biomass resources.",10,present,present,4,True,case study,True,True,True,present
holisoils_2,present,"The document identifies a lack of comprehensive and reliable soil information across the EU, particularly regarding forest soils, which hinders the effective implementation of the EU Soil Monitoring Law.",3,present,weak,0,True,statistic,True,True,False,weak
holisoils_1,present,"Soil degradation threatens sustainable provisioning of ecosystem services essential for human wellbeing, driven by unsustainable forest management, peatland drainage, and other factors, leading to significant economic costs in the EU.",6,present,weak,0,True,statistic,True,True,False,weak
holisoils_3,present,The document identifies the challenge of increasing carbon sequestration in forest soils and reducing greenhouse gas emissions to meet climate neutrality targets set by the European Union.,5,present,weak,0,True,statistic,True,True,False,weak
incredible_1,absent,,12,present,weak,0,False,,False,True,False,weak
impetus,present,"The document identifies challenges related to climate adaptation (CA) financing and policy barriers, emphasizing the need for effective decision-making and collaboration among stakeholders to address these issues.",5,present,weak,2,True,case study,True,True,False,weak
incredible_2,present,"The document identifies challenges related to the underutilization and potential of non-wood forest products (NWFP) in Europe, emphasizing their importance for sustainable development and economic growth.",12,present,weak,0,True,case study,True,True,False,weak
integral_1,present,"The document identifies the challenge of balancing competing forest land uses and societal demands on forest ecosystem goods and services, highlighting incoherence in EU and national forest policies and the need for integrated forest management.",3,present,weak,0,True,provocative question,True,True,False,absent
integral_2,present,"The document identifies the challenge of sustainable forest management (SFM) in Europe, emphasizing the need for integrated and future-oriented management strategies to address long-term uncertainties and societal demands.",3,present,weak,0,True,statistic,True,True,False,weak
locomotion_1,present,"The document identifies the urgent need for a transition to a climate-neutral Europe due to the global climate emergency and geopolitical challenges, particularly in light of the war in Ukraine and the need for sustainable energy supplies.",12,present,weak,0,True,provocative statement,True,True,False,weak
locomotion_2,present,"The document identifies challenges related to the land requirements for renewable energy infrastructure, the low energy return on investment (EROI) of renewables under green growth, the sustainability of electric vehicle adoption, and the inequalities exacerbated by green growth policies.",15,present,weak,0,True,statistic,True,True,False,weak
innoforest,present,"The document identifies challenges in the balanced provision of forest ecosystem services (FES) due to global environmental issues, urbanization, and market dynamics, which hinder forest owners from generating revenue from these services.",6,present,weak,0,True,statistic,True,True,False,weak
magic_2,present,"The document identifies challenges related to land marginality, including biophysical and environmental issues that hinder agricultural productivity and the cultivation of industrial crops.",2,present,present,5,True,case study,True,True,True,present
magic_1,present,"The document identifies challenges related to the restoration of marginal land and the cultivation of industrial crops, emphasizing the need for government intervention to address these issues.",7,present,weak,0,True,statistic,True,True,False,weak
merlin,present,The document identifies the degradation of freshwater ecosystems due to agricultural practices and the need for restoration to support water resilience and agricultural productivity.,6,present,weak,3,True,statistic,True,True,False,weak
motive_1,present,"Climate change is affecting European forests, leading to increased growth rates in some areas and declines in others, along with increased abiotic and biotic disturbances.",6,present,weak,0,True,provocative statement,True,True,False,weak
motive_2,present,"Climate change is projected to significantly impact European forests, affecting tree growth, species choice, and increasing risks from disturbances such as wind, fire, and pests.",3,present,weak,0,True,statistic,True,True,False,weak
naiad_1,present,"The document identifies the need for improved investment in Nature Based Solutions (NBS) to reduce risks associated with climate change, particularly in the context of increasing flooding and droughts, which threaten insurance markets and disaster resilience.",3,present,weak,0,True,statistic,True,True,False,weak
naiad_2,present,"The document identifies the need for better engagement of the insurance sector in disaster risk reduction (DRR), Nature Based Solutions (NBS), and climate adaptation, highlighting the challenges and opportunities in this area.",10,present,weak,0,True,opportunity areas and recommendations,True,True,False,weak
newforex,present,"Mediterranean forests are among the most vulnerable ecosystems, facing degradation and desertification due to harsh climatic conditions, human pressures, and recurrent fires, necessitating intervention through innovative financial mechanisms like Payments for Environmental Services (PES).",6,present,weak,0,True,statistic,True,True,False,weak
naiad_3,present,"The document identifies challenges in financing and implementing nature-based solutions (NBS) for climate change adaptation and disaster risk management, highlighting the need for better integration of these solutions into existing policies and practices.",4,present,weak,0,True,case study,True,True,False,weak
oneforest,present,"Forests face significant challenges due to climate change, including disturbances like fire, storms, pests, and drought, which make ecosystems vulnerable and complicate forest management.",3,present,weak,0,True,statistic,False,True,False,weak
oasis,present,"The document identifies challenges related to the accessibility and usability of catastrophe models for non-insurance entities, particularly in the context of climate change and its impact on risk assessment.",2,present,present,3,True,vivid example,True,True,True,present
optfor-eu,present,"The sustainability of forest services is threatened by various pressures, particularly climate-related challenges, as highlighted by habitat assessments and stakeholder feedback.",6,present,weak,0,True,statistic,False,True,False,weak
pegasus,present,"The document identifies limitations in the current policy response to delivering environmental and social benefits from EU agricultural and forestry land, highlighting insufficient use of existing regulations and CAP incentives to achieve desired outcomes.",7,present,weak,0,True,case study,True,True,False,weak
phusicos_1,present,"Insufficient funding, unbalanced distribution of funding for green and grey measures, and investments in nature-negative projects hinder the implementation of nature-based solutions (NBS).",4,present,weak,0,True,case study,True,True,False,weak
phusicos_2,present,"The document identifies barriers to the implementation of nature-based solutions (NBS), particularly in disaster risk reduction, including lack of knowledge, qualified contractors, and funding issues.",6,present,weak,0,True,case study,True,True,False,weak
ponderful_1,present,The document identifies the need for effective management and protection of ponds and pondscapes as nature-based solutions to address climate change and other societal challenges.,6,present,weak,2,True,case study,True,True,False,weak
ponderful_2,present,"Ponds are critically important yet often overlooked freshwater habitats that provide essential ecosystem services and support biodiversity, but they lack sufficient scientific attention and policy recognition.",6,present,present,3,True,statistic,True,True,True,present
resalliance_1,present,"The document identifies the challenge of enhancing landscape resilience to address the well-being of a growing global population, climate change, and biodiversity loss.",0,absent,absent,0,True,provocative question,True,False,False,absent
provide,present,"The document identifies the need to improve governance mechanisms for the provision of public goods by agriculture and forestry, highlighting weaknesses in current systems and the necessity for optimized financial incentives and participatory approaches.",9,present,weak,0,True,case study,True,True,False,weak
resalliance_2,present,The document identifies the need for innovative landscape resilience solutions in agriculture and forestry due to challenges posed by climate change and land use changes in the Mediterranean basin.,12,present,weak,0,True,definition of landscape resilience,True,True,False,weak
resonate_1,present,"Climate change is causing increased disturbances in forests, leading to economic losses for forest owners and instability in the wood market, particularly affecting small-scale forest owners and the wood processing industry.",8,present,weak,0,True,statistic,False,True,False,weak
resonate_2,present,"Bark beetle outbreaks have devastated European forests, causing significant socio-economic issues and raising concerns about climate targets and forest management practices.",8,present,weak,0,True,statistic,False,True,False,weak
resonate_4,present,"Increasing frequency and severity of climate-driven disturbances are threatening Europe's forests, necessitating effective adaptation measures.",3,present,present,3,True,statistic,True,True,True,present
resonate_5,present,"Forests are under pressure from climate change and disturbances, affecting their health and resilience, which biodiversity can help mitigate.",10,present,weak,0,True,statistic,False,True,False,weak
resonate_6,present,"European forests face increasing challenges from extreme climatic events and disturbances, necessitating a stronger focus on forest resilience to support sustainable forest management.",3,present,weak,0,True,case study,False,False,False,weak
resonate_7,present,"Increased disturbances due to climate change are negatively impacting forest biodiversity, affecting species that depend on old and dense forests while benefiting those that thrive in younger, more open environments.",9,present,weak,0,True,statistic,False,True,False,weak
resonate_8,present,"Significant increase in forest disturbances since the 1950s, leading to ecosystem degradation, tree mortality, and challenges in achieving EU climate targets.",1,present,weak,0,True,statistic,False,False,False,absent
resonate_3,present,"Climate change is a long-term challenge affecting forest ecosystems and forest-based value chains, necessitating solutions for adapting forests to increasing disturbances and ecosystemic shifts.",3,present,weak,0,True,quote,False,True,False,absent
rosewood40,weak,The document implies challenges in digitalization within the forest industry but does not explicitly frame a specific policy problem.,4,present,weak,0,True,abstract,False,True,False,weak
safers,present,"The document identifies challenges in forest fire emergency management, particularly the underutilization of geospatial data and the need for improved resilience in societies facing forest fire threats.",9,present,weak,0,True,case study,True,True,False,weak
silvanus_1,present,"The document identifies challenges related to forest management, including the need for sustainable practices, resilience to climate change, and effective wildfire prevention and mitigation policies.",3,present,weak,0,True,case study,True,True,False,weak
silvanus_2,present,"The document identifies challenges in deforestation, climate adaptation, and biodiversity conservation within the context of forest governance in the EU, necessitating a multi-level governance approach.",4,present,weak,0,True,statistic,True,True,False,weak
simra_1,present,"Rural communities face challenges such as constrained accessibility, poor-quality land, and weak local economies, which hinder their resilience and innovation, necessitating intervention through social innovation.",5,present,weak,0,True,statistic,True,True,False,weak
sim4nexus,present,"The document identifies challenges related to climate change, resource management, and the need for integrated approaches to water, land, food, energy, and climate systems in Europe.",6,present,weak,0,True,case study,True,True,False,weak
simra_2,present,"The document identifies the challenge of raising the profile of social innovation in policy making, particularly in marginalised rural areas, and highlights the need for supportive policies to enhance the impact of social innovation.",9,present,weak,0,True,quote,False,True,False,weak
simwood,present,"The document identifies the challenge of under-utilisation of wood resources in European forests, emphasizing the need for increased wood mobilisation to meet growing demand and support sustainable forest management.",17,present,present,17,True,statistic,True,True,True,present
sincere_2,present,"PES implementation in Europe is limited by insufficient private willingness to pay, design flaws, and institutional challenges, despite the potential benefits of PES as effective environmental instruments.",3,present,weak,0,True,provocative questions,False,True,False,weak
sincere_1,present,"The document identifies challenges in aligning the supply and demand of forest ecosystem services (FES) in Europe, highlighting issues such as insufficient policy integration, lack of political support, and the need to adapt to climate change.",4,present,weak,0,True,statistic,True,True,False,weak
startree_1,present,"The document identifies challenges related to the harvesting and management of non-wood forest products (NWFPs), emphasizing the need for effective policies to support rural development and sustainable resource use.",12,present,weak,0,True,case study,True,True,False,weak
startree_2,present,"The document identifies the underutilization of non-wood forest products (NWFPs) in Europe, highlighting the need for better management and integration of NWFPs into forest policies to unlock their economic potential.",3,present,weak,0,True,statistic,True,True,False,weak
superb_1,present,"Europe's forests are under pressure from climate change, land-use changes, and increasing demand for forest products, which affects their ability to provide ecosystem services and biodiversity.",4,present,weak,0,True,statistic,False,True,False,weak
